1901  |010001 |R     And *|002401.95 +383437.3 |M         |  5.8    |  15.2      |            |V |53820.      |     |   409.2            |38   |S3,5e-S8,8e(M7e) |HIP   00002|           |-0.016 -0.035|2000.0  | |Hip      |M         |R     And |
7321  |010244 |KK    And  |013416.61 +371413.7 |ACV       |  5.91   |(  0.012   )|            |V |            |     |     0.6684         |     |B9IVpSi          |07740 HIP  |           |+0.013 -0.021|2000.0  | |Hip      |ACV       |KK    And |
116039|010250 |KQ    And  |233043.50 +460910.9 |LB:       |  9.4    |  10.1      |            |p |            |     |                    |     |K5               |05526 05526|           |+0.007 -0.004|2000.0  | |Hip      |Lb:       |KQ    And |
114154|010257 |KX    And *|230706.21 +501132.5 |BE        |  6.88   |   7.28     |            |V |            |     |                    |     |B3pe+K1III       |N0088 HIP  |           |+0.002 -0.001|2000.0  | |Hip      |Be        |KX    And |
114329|010258 |KY    And  |230916.75 +493902.2 |BE        |  6.68   |   6.95 :   |            |V |            |     |                    |     |B3Vne            |N0089 HIP  |           |+0.002 +0.000|2000.0  | |Hip      |Be        |KY    And |
114379|010259 |KZ    And *|230957.36 +475730.1 |BY        |  7.91   |   8.03     |            |V |            |     |     3.03           |     |K2Ve+K2Ve        |N0115 HIP  |           |+0.147 +0.012|2000.0  | |Hip      |BY        |KZ    And |
113802|010262 |LN    And *|230245.15 +440331.5 |CST:      |  6.39   |            |            |V |            |     |                    |     |B2V              |N0091 HIP  |           |+0.002 -0.006|2000.0  | |Hip      |Cst:      |LN    And |
118214|010265 |LQ    And *|235846.44 +462447.5 |BE        |  6.50   |   6.66     |            |V |            |     |     0.309446       |     |B4Ven            |HIP   HIP  |           |+0.015 +0.001|2000.0  | |Hip      |Be        |LQ    And |
1799  |010266 |LR    And *|002249.88 +292715.4 |ELL       |  7.10   |   7.15     |   7.14     |V |44854.8800  |     |     1.432321       |     |A3V              |N0093 HIP  |           |+0.082 -0.010|2000.0  | |Hip      |Ell       |LR    And |
7493  |010303 |OP    And  |013627.20 +484322.0 |RS:       |  6.27   |   6.41     |            |Hp|            |     |     2.35954        |     |K1III:           |HIP   HIP  |           |-0.016 -0.019|2000.0  | |Hip      |RS:       |OP    And |
7951  |010304 |OQ    And  |014207.80 +392443.9 |LB        |  7.64   |   7.73     |            |V |            |     |                    |     |M3III            |68006 HIP  |           |+0.013 +0.001|2000.0  | |Hip      |Lb        |OQ    And |
115200|010307 |OT    And *|232001.22 +414517.5 |EA        |  7.32   |   7.72     |   7.62     |V |45711.73    |     |    20.85290        |03   |                 |68007 HIP  |           |+0.032 +0.005|2000.0  | |Hip      |EA        |OT    And |
117503|010308 |OU    And  |234940.96 +362531.0 |FKCOM:    |  5.87   |   5.94     |            |V |            |     |    24.2         :  |     |G1IIIe           |N0097 HIP  |           |+0.000 -0.048|2000.0  | |Hip      |FKCom:    |OU    And |
117963|010320 |PV    And  |235537.94 +462129.9 |ACV       |  6.91   |   6.99     |            |V |            |     |     3.5112         |     |B9pSi            |N0101 HIP  |           |+0.009 -0.013|2000.0  | |Hip      |ACV       |PV    And |
2865  |010323 |PY    And *|003620.10 +271517.1 |ACV       |  6.02   |(  0.03    )|            |U |            |     |     4.6904         |     |B8IIIpHgMn       |71005 HIP  |           |+0.017 -0.012|2000.0  | |Hip      |ACV       |PY    And |
10944 |010324 |PZ    And  |022058.21 +500905.3 |ACV       |  5.59   |(  0.05    )|            |V |            |     |     4.1890         |     |B9VpSi           |N0102 HIP  |           |+0.039 -0.031|2000.0  | |Hip      |ACV       |PZ    And |
5684  |010329 |QU    And *|011306.07 +413915.5 |RS        |  7.25   |(  0.05    )|            |V |            |     |    21.08           |     |G5IV             |78018 HIP  |           |+0.315 -0.038|2000.0  | |Hip      |RS        |QU    And |
5939  |010330 |QV    And  |011624.49 +480456.1 |ACV       |  6.22   |(  0.05    )|            |U |            |     |     5.229          |     |B9IIIpSi         |67131 HIP  |           |+0.008 -0.004|2000.0  | |Hip      |ACV       |QV    And |
116354|010340 |V0340 And  |233437.54 +401411.2 |DSCTC     |  5.69   |(  0.03    )|            |B |            |     |     0.063          |     |A1Vp             |N0104 DM   |           |-0.018 -0.046|2000.0  | |Hip      |DSct      |V0340 And |
590   |010341 |V0341 And  |000710.18 +345113.7 |LB        |  8.63   |   8.94     |            |Hp|            |     |                    |     |                 |HIP   HIP  |           |+0.001 -0.001|2000.0  | |Hip      |Lb        |V0341 And |
882   |010343 |V0343 And  |001047.20 +321433.3 |LB        |  7.04   |   7.55     |            |Hp|            |     |                    |     |M2               |HIP   HIP  |           |+0.011 +0.001|2000.0  | |Hip      |Lb        |V0343 And |
919   |010344 |V0344 And  |001122.44 +302658.5 |BY        |  7.95   |(  0.04    )|            |V |            |     |     6.105          |     |K0V              |78018 HIP  |           |+0.211 +0.035|2000.0  | |Hip      |BY        |V0344 And |
988   |010345 |V0345 And  |001215.80 +434905.5 |SRB:      |  7.79   |   7.98     |            |Hp|            |     |    45.13           |     |M4               |HIP   HIP  |           |+0.001 -0.003|2000.0  | |Hip      |SR:       |V0345 And |
1112  |010346 |V0346 And  |001350.23 +365137.0 |LB:       |  8.98   |   9.10     |            |Hp|            |     |                    |     |K5               |HIP   HIP  |           |+0.001 -0.007|2000.0  | |Hip      |Lb:       |V0346 And |
1110  |010347 |V0347 And  |001349.55 +253307.0 |SRS:      |  9.38   |   9.72     |            |Hp|48510.60    |     |    15.11           |     |M2               |HIP   HIP  |           |-0.004 -0.008|2000.0  | |Hip      |SR:       |V0347 And |
1233  |010348 |V0348 And *|001517.83 +441212.2 |EA        |  6.75   |   6.90     |            |Hp|48504.070   |     |     5.5392         |     |B9               |HIP   HIP  |           |+0.007 -0.001|2000.0  | |Hip      |EA        |V0348 And |
1289  |010349 |V0349 And  |001609.43 +475334.2 |LB:       |  8.81   |   8.93     |            |Hp|            |     |                    |     |M0               |HIP   HIP  |           |-0.003 -0.012|2000.0  | |Hip      |Lb:       |V0349 And |
2054  |010350 |V0350 And  |002602.69 +354909.4 |EA        |  7.56   |   7.63     |            |Hp|47947.413   |     |     1.538824    :  |10   |A3               |HIP   HIP  |           |+0.018 -0.002|2000.0  | |Hip      |EA        |V0350 And |
2216  |010351 |V0351 And  |002801.36 +270550.6 |LB        |  9.12   |   9.49     |            |Hp|            |     |                    |     |M5               |HIP   HIP  |           |+0.005 -0.004|2000.0  | |Hip      |Lb        |V0351 And |
2285  |010352 |V0352 And  |002911.15 +445942.2 |LB:       |  9.01   |   9.13     |            |Hp|            |     |                    |     |M0               |HIP   HIP  |           |+0.001 +0.001|2000.0  | |Hip      |Lb:       |V0352 And |
2384  |010353 |V0353 And  |003026.23 +402208.9 |LB:       |  9.44   |   9.59     |            |Hp|            |     |                    |     |M0               |HIP   HIP  |           |-0.006 -0.004|2000.0  | |Hip      |Lb:       |V0353 And |
2651  |010354 |V0354 And  |003336.82 +395303.2 |SRD:      |  8.65   |   8.78     |            |Hp|            |     |    10.877          |     |K0               |HIP   HIP  |           |+0.004 -0.004|2000.0  | |Hip      |SRd:      |V0354 And |
3454  |010355 |V0355 And *|004411.26 +461408.0 |EA        |  7.69   |   8.0      |   7.9      |V |52295.088   |     |     4.71841        |     |F5               |N0105 HIP  |           |+0.068 -0.026|2000.0  | |Hip      |EA        |V0355 And |
3498  |010356 |V0356 And  |004439.01 +363609.0 |LB:       |  9.04   |   9.17     |            |Hp|            |     |                    |     |M1               |HIP   HIP  |           |-0.018 -0.008|2000.0  | |Hip      |Lb:       |V0356 And |
4129  |010357 |V0357 And  |005253.38 +383255.8 |ELL:      |  6.70   |   6.74     |   6.7      |Hp|            |     |     1.66238        |     |A2V              |HIP   HIP  |           |+0.026 -0.010|2000.0  | |Hip      |Ell:      |V0357 And |
4621  |010358 |V0358 And  |005921.93 +425104.2 |LB:       |  8.22   |   8.36     |            |Hp|            |     |                    |     |M2               |HIP   HIP  |           |-0.009 -0.016|2000.0  | |Hip      |Lb:       |V0358 And |
4900  |010359 |V0359 And  |010252.71 +470249.8 |BY:       | 10.89   |  11.31     |            |Hp|            |     |                    |     |M0               |HIP   HIP  |           |+0.396 -0.177|2000.0  | |Hip      |BY:       |V0359 And |
5002  |010360 |V0360 And  |010404.50 +384118.7 |LB        |  7.05   |   7.23     |            |Hp|            |     |                    |     |M3III            |HIP   HIP  |           |-0.020 -0.003|2000.0  | |Hip      |Lb        |V0360 And |
5450  |010361 |V0361 And *|010945.32 +380728.3 |DSCTC     |  7.79   |   7.83     |            |Hp|48500.0220  |     |     0.1140500      |     |F0               |HIP   HIP  |           |+0.037 -0.010|2000.0  | |Hip      |DSct      |V0361 And |
6852  |010362 |V0362 And  |012807.00 +422801.1 |E:        |  8.42   |   8.55     |            |Hp|            |     |    18.518518    :  |     |M0               |HIP   HIP  |           |-0.008 -0.022|2000.0  | |Hip      |E:        |V0362 And |
7122  |010363 |V0363 And  |013146.57 +360538.0 |EB        |  9.10   |   9.37     |   9.34     |Hp|48500.3980  |     |     1.27799        |     |A2               |HIP   HIP  |           |+0.003 -0.005|2000.0  | |Hip      |EC        |V0363 And |
7205  |010364 |V0364 And  |013250.47 +453731.7 |LB        |  9.21   |   9.31     |            |Hp|            |     |                    |     |K2III            |HIP   HIP  |           |-0.003 -0.007|2000.0  | |Hip      |Lb        |V0364 And |
7511  |010365 |V0365 And  |013646.74 +481855.7 |DSCTC     |  7.49   |   7.53     |            |Hp|            |     |     0.142816       |     |F0               |HIP   HIP  |           |+0.002 -0.003|2000.0  | |Hip      |DSct      |V0365 And |
8034  |010366 |V0366 And  |014311.11 +483100.4 |LC        |  6.74   |   6.93     |            |Hp|            |     |                    |     |M2Ib             |HIP   HIP  |           |-0.001 -0.005|2000.0  | |Hip      |Lb        |V0366 And |
8618  |010367 |V0367 And  |015109.29 +380126.2 |SRS:      |  7.11   |   7.45     |            |Hp|            |     |    24.457       :  |     |M4               |00001 HIP  |           |+0.000 -0.004|2000.0  | |Hip      |SR:       |V0367 And |
8682  |010368 |V0368 And  |015143.21 +390826.3 |LB        |  9.01   |   9.58     |            |Hp|            |     |                    |     |M8               |HIP   HIP  |           |+0.004 -0.010|2000.0  | |Hip      |Lb        |V0368 And |
9150  |010369 |V0369 And *|015754.90 +473352.8 |LB:       |  9.07   |   9.18     |            |Hp|            |     |                    |     |M0               |HIP   HIP  |           |+0.000 -0.010|2000.0  | |Hip      |Lb:       |V0369 And |
9234  |010370 |V0370 And  |015844.33 +452606.9 |SRB       |  6.18   |   7.19     |            |Hp|            |     |   228.             |     |M7III            |N0106 HIP  |           |+0.039 +0.001|2000.0  | |Hip      |SR        |V0370 And |
9500  |010371 |V0371 And *|020212.93 +364301.2 |BY:       |  8.30   |   8.34     |            |Hp|            |     |     1.4937         |     |G5               |HIP   HIP  |           |+0.139 -0.055|2000.0  | |Hip      |BY:       |V0371 And |
9740  |010372 |V0372 And  |020518.18 +450534.1 |EA        |  9.05   |   9.53     |   9.37     |Hp|51483.5838  |     |     2.940986       |11   |A5               |00001 HIP  |           |+0.014 -0.009|2000.0  | |Hip      |EA        |V0372 And |
9779  |010373 |V0373 And  |020546.22 +394535.2 |DSCTC     |  7.63   |   7.69     |            |Hp|            |     |     0.1128020      |     |F0               |HIP   HIP  |           |-0.065 -0.012|2000.0  | |Hip      |DSct      |V0373 And |
9867  |010374 |V0374 And  |020657.21 +451104.0 |E:        | 10.30   |  11.55     |            |Hp|            |     |                    |     |M0               |HIP   HIP  |           |+0.259 -0.450|2000.0  | |Tyc2     |E:        |V0374 And |
11785 |010375 |V0375 And  |023206.50 +501050.9 |SRB       |  7.01   |   7.22     |            |Hp|            |     |    54.          :  |     |A0               |00001 HIP  |           |+0.023 +0.010|2000.0  | |Hip      |SR        |V0375 And |
12039 |010376 |V0376 And  |023511.63 +495137.2 |EB        |  7.68   |   8.00     |   7.96     |Hp|52500.492   |     |     0.7986720      |     |A0               |N0041 HIP  |           |+0.049 -0.008|2000.0  | |Hip      |EC        |V0376 And |
12136 |010377 |V0377 And  |023618.89 +401217.5 |EA        |  7.46   |   7.58     |            |Hp|48700.254   |     |     4.06366     :  |05 : |B9               |00001 HIP  |           |+0.002 -0.007|2000.0  | |Hip      |EA        |V0377 And |
113640|010378 |V0378 And  |230054.75 +384228.3 |BE        |  6.47   |   6.64     |            |V |            |     |                    |     |B3Vpe            |N0107 HIP  |           |-0.001 -0.008|2000.0  | |Hip      |Be        |V0378 And |
114100|010379 |V0379 And  |230632.96 +465525.0 |IA:       |  7.70   |   7.85     |            |Hp|            |     |                    |     |B3               |HIP   HIP  |           |-0.002 -0.003|2000.0  | |Hip      |I:        |V0379 And |
114106|010380 |V0380 And  |230637.05 +423926.5 |LPB       |  7.97   |   8.02     |            |Hp|            |     |     1.37678        |     |B9               |HIP   HIP  |           |-0.002 -0.005|2000.0  | |Hip      |SPB       |V0380 And |
114305|010381 |V0381 And  |230857.08 +385454.6 |EA        |  7.35   |   7.42     |            |Hp|            |     |                    |     |A0               |HIP   HIP  |           |+0.006 -0.005|2000.0  | |Hip      |EA        |V0381 And |
114384|010382 |V0382 And  |230957.97 +425009.3 |EB        |  9.16   |   9.44     |   9.24     |Hp|51402.871   |     |     1.478983       |     |A0               |00001 HIP  |           |-0.009 -0.015|2000.0  | |Hip      |EC        |V0382 And |
114850|010383 |V0383 And  |231549.34 +423444.4 |LB:       |  8.35   |   8.46     |            |Hp|            |     |                    |     |M0               |HIP   HIP  |           |+0.004 -0.005|2000.0  | |Hip      |Lb:       |V0383 And |
115504|010384 |V0384 And  |232351.97 +490407.7 |LB:       |  9.22   |   9.41     |            |Hp|            |     |                    |     |M2               |HIP   HIP  |           |+0.007 +0.000|2000.0  | |Hip      |Lb:       |V0384 And |
115530|010385 |V0385 And  |232408.87 +413646.3 |LB        |  6.36   |   6.47     |            |Hp|            |     |                    |     |M0               |HIP   HIP  |           |-0.012 +0.002|2000.0  | |Hip      |Lb        |V0385 And |
115541|010386 |V0386 And  |232414.93 +352946.5 |LB:       |  9.32   |   9.53     |            |Hp|            |     |                    |     |M0               |HIP   HIP  |           |-0.009 -0.007|2000.0  | |Hip      |Lb:       |V0386 And |
115643|010387 |V0387 And  |232536.10 +525846.1 |LB        |  6.76   |   6.87     |            |Hp|            |     |                    |     |M0               |HIP   HIP  |           |-0.007 -0.013|2000.0  | |Hip      |Lb        |V0387 And |
115755|010388 |V0388 And  |232707.40 +425443.2 |ACV       |  5.73   |   5.77     |            |Hp|            |     |     1.47931        |     |B9Mn             |N0108 HIP  |           |+0.087 +0.017|2000.0  | |Hip      |ACV       |V0388 And |
116153|010389 |V0389 And  |233201.31 +434920.5 |EA        |  8.22   |   8.32     |            |Hp|            |     |                    |     |A0               |HIP   HIP  |           |-0.011 -0.006|2000.0  | |Hip      |EA        |V0389 And |
116228|010390 |V0390 And  |233256.48 +460725.2 |SRB       |  6.56   |   6.75     |            |Hp|            |     |   303.             |     |M0               |HIP   HIP  |           |+0.049 -0.001|2000.0  | |Hip      |SR        |V0390 And |
116411|010391 |V0391 And  |233524.17 +364454.0 |LB        |  9.05   |   9.43     |            |Hp|            |     |                    |     |M2               |HIP   HIP  |           |+0.002 -0.002|2000.0  | |Hip      |Lb        |V0391 And |
116685|010392 |V0392 And *|233848.73 +442445.3 |EA        |  9.07   |   9.41     |   9.41     |V |48035.107   |     |     4.046275       |06  *|A2               |N0109 HIP  |           |+0.027 +0.008|2000.0  | |Hip      |EA        |V0392 And |
116716|010393 |V0393 And *|233912.46 +503241.8 |LB:       | 10.31   |  10.38     |            |Hp|            |     |                    |     |                 |HIP   HIP  |           |+0.014 +0.010|2000.0  | |Hip      |Lb:       |V0393 And |
116870|010394 |V0394 And  |234120.24 +465136.2 |LPB       |  7.40   |   7.42     |            |Hp|            |     |     1.7776         |     |B9               |HIP   HIP  |           |+0.005 -0.009|2000.0  | |Hip      |SPB       |V0394 And |
117111|010395 |V0395 And *|234432.14 +462248.6 |EW        |  7.55   |   7.62     |   7.61     |Hp|48699.9945  |     |     0.6847         |     |A0               |HIP   HIP  |           |+0.000 -0.001|2000.0  | |Hip      |EC        |V0395 And |
117647|010396 |V0396 And  |235133.44 +472915.9 |DSCTC     |  7.92   |   7.95     |            |Hp|            |     |     0.1047310      |     |F0               |HIP   HIP  |           |+0.020 -0.011|2000.0  | |Hip      |DSct      |V0396 And |
117691|010397 |V0397 And  |235207.52 +375100.9 |LB:       |  8.60   |   8.72     |            |Hp|            |     |                    |     |M5               |HIP   HIP  |           |+0.011 -0.002|2000.0  | |Hip      |Lb:       |V0397 And |
117744|010398 |V0398 And  |235245.08 +345818.5 |LB:       |  8.23   |   8.34     |            |Hp|            |     |                    |     |M2               |HIP   HIP  |           |+0.016 +0.009|2000.0  | |Hip      |Lb:       |V0398 And |
117769|010399 |V0399 And  |235300.08 +412044.5 |LB        |  6.95   |   7.05     |            |Hp|            |     |                    |     |M2III            |HIP   HIP  |           |+0.015 -0.001|2000.0  | |Hip      |Lb        |V0399 And |
118238|010400 |V0400 And  |235857.81 +404731.9 |E         |  8.57   |   8.65     |            |Hp|            |     |                    |     |A5               |HIP   HIP  |           |+0.015 -0.004|2000.0  | |Hip      |E         |V0400 And |
76    |010401 |V0401 And  |000054.77 +324932.4 |LB:       |  9.04   |   9.14     |            |Hp|            |     |                    |     |M0               |HIP   HIP  |           |-0.002 -0.008|2000.0  | |Hip      |Lb:       |V0401 And |
12056 |010406 |V0406 And  |023525.61 +455603.1 |EB        |  9.22   |   9.42     |   9.39     |V |52500.27    |     |     2.165032       |     |B8               |N0041 HIP  |           |+0.001 -0.003|2000.0  | |Hip      |EC        |V0406 And |
